condition,cv,policy,n_prefill,service_scale,transfer_scale,seed,n_completed,n_arrivals,ttft_p50,ttft_p95,ttft_p99,qfrac_p99,qfrac_p95,attainment_p95_slo,throughput,max_pair_share
B,3,affine,1,1.0,1.4,5,5000,5000,0.6155489662622244,2.6711871975839956,3.7805765100024282,0.9714836539979115,0.9498224814812141,0.9934,3.051612132413898,0.5996
B,3,affine,1,2.0,0.7,1,5000,5000,3.2146547080969725,13.698895478335373,18.765258571185434,0.989512991762602,0.9825236298586973,0.5712,2.845172007630828,0.5136
B,3,affine,1,2.0,0.7,2,5000,5000,2.631893923488171,11.490967457854243,14.828602799866516,0.9867891244539283,0.9777383264333098,0.6678,2.7014289916371568,0.5678
B,3,affine,1,2.0,0.7,3,5000,5000,3.507638208126366,11.74153525611347,15.155504016882887,0.9879478777384124,0.9821943471271587,0.5508,2.9563017584221014,0.5668
B,3,affine,1,2.0,0.7,4,5000,5000,2.526539431484011,11.797867911733057,17.231022466830474,0.987958231311064,0.9784770842408169,0.6886,2.816476907450663,0.5194
B,3,affine,1,2.0,0.7,5,5000,5000,4.109987797257531,13.179628635585644,16.199295374550488,0.9894263708463795,0.9839279617229416,0.487,3.051612132413898,0.573
B,3,affine,1,2.0,1.0,1,5000,5000,3.2169950058165817,13.700767341991503,18.767547272926322,0.9894192081267887,0.9822498199122016,0.5712,2.845172007630828,0.5136
B,3,affine,1,2.0,1.0,2,5000,5000,2.6350459958283707,11.492731963837628,14.832636834939615,0.9866261268558936,0.9774818070877038,0.6674,2.7014289916371568,0.5678
B,3,affine,1,2.0,1.0,3,5000,5000,3.510740083285441,11.74559133985754,15.158663952215536,0.9876667924515989,0.9819136448839726,0.5506,2.9563017584221014,0.5668
B,3,affine,1,2.0,1.0,4,5000,5000,2.529270866497505,11.799860122096222,17.23285808501398,0.9877886677815345,0.9781982224769245,0.6884,2.816476907450663,0.5194
B,3,affine,1,2.0,1.0,5,5000,5000,4.114854822810798,13.183579953513954,16.20088994441046,0.9892732403604542,0.9836877964432693,0.4868,3.051612132413898,0.573
B,3,affine,1,2.0,1.4,1,5000,5000,3.220404737470119,13.703263160199754,18.77059887524747,0.989225608701179,0.9817567799695023,0.5712,2.845172007630828,0.5136
B,3,affine,1,2.0,1.4,2,5000,5000,2.6390717867083566,11.49508463848209,14.838015548370434,0.9862180724715488,0.9771132211403494,0.667,2.7014289916371568,0.5678
B,3,affine,1,2.0,1.4,3,5000,5000,3.5148759168308743,11.750999451516297,15.162877199325884,0.9873772732387501,0.9816263669625447,0.5502,2.9563017584221014,0.5668
B,3,affine,1,2.0,1.4,4,5000,5000,2.5329127798488713,11.802516402580444,17.235305575925395,0.9875434514019775,0.9779662583019052,0.6884,2.816476907450663,0.5194
B,3,affine,1,2.0,1.4,5,5000,5000,4.118364317277155,13.188848377418074,16.20518978247357,0.9890535626689901,0.9834203660981577,0.4866,3.051612132413898,0.573
C,3,loadbal,1,0.5,0.7,1,5000,5000,0.1979628176550321,1.0505334379952047,1.4961599918134232,0.961383304047516,0.9328381644569788,1.0,2.842384040532689,0.6006
C,3,loadbal,1,0.5,0.7,2,5000,5000,0.19354345811552776,1.010304717909145,1.4803855927704384,0.9581133573511296,0.9242145815487596,1.0,2.7014289916371568,0.5948
C,3,loadbal,1,0.5,0.7,3,5000,5000,0.23726495489745503,1.0708028940338525,1.5149938672291805,0.9600445185535458,0.9328672749201357,1.0,2.95502668724253,0.5284
C,3,loadbal,1,0.5,0.7,4,5000,5000,0.20310927776995413,0.9166292911145376,1.3342440165500489,0.9506932157411648,0.9194591465172665,1.0,2.814400288006337,0.5436
C,3,loadbal,1,0.5,0.7,5,5000,5000,0.2305815770657773,1.08785518721449,1.6824541944961926,0.9653574285835763,0.9320920709068163,1.0,3.051612132413898,0.603
C,3,loadbal,1,0.5,1.0,1,5000,5000,0.20089973485602286,1.0516969910857088,1.49840808756864,0.9592108245471238,0.9303072529412076,1.0,2.842384040532689,0.6006
C,3,loadbal,1,0.5,1.0,2,5000,5000,0.19669509629050452,1.0119399580253063,1.4820589627527825,0.955370153137446,0.9214085191300513,1.0,2.7014289916371568,0.5948
C,3,loadbal,1,0.5,1.0,3,5000,5000,0.23973181210351413,1.073314242477079,1.5168958212228785,0.9580410744519074,0.930110593224959,1.0,2.95502668724253,0.5284
C,3,loadbal,1,0.5,1.0,4,5000,5000,0.2055033445736001,0.9189718200961239,1.3349591149516435,0.9486239324397485,0.9160775537205065,1.0,2.814400288006337,0.5436
C,3,loadbal,1,0.5,1.0,5,5000,5000,0.23310672085551687,1.0892575719193136,1.6844110663652432,0.9631528805085058,0.929506989558589,1.0,3.051612132413898,0.603
C,3,loadbal,1,0.5,1.4,1,5000,5000,0.2041305208239237,1.0551624990284338,1.5026260415838337,0.9570000341699262,0.9271523151300275,1.0,2.842384040532689,0.6006
C,3,loadbal,1,0.5,1.4,2,5000,5000,0.1999866853790877,1.0151072067040847,1.4844157398145923,0.9515545082973789,0.9174587718577247,1.0,2.7014289916371568,0.5948
C,3,loadbal,1,0.5,1.4,3,5000,5000,0.24328142352845816,1.0771541176927346,1.5194317598809917,0.9550101128318026,0.9264215059026032,1.0,2.95502668724253,0.5284
C,3,loadbal,1,0.5,1.4,4,5000,5000,0.20881835749824518,0.9241516871217698,1.335912579487104,0.9445926534913113,0.9118398227013278,1.0,2.814400288006337,0.5436
C,3,loadbal,1,0.5,1.4,5,5000,5000,0.23590560087137646,1.0929350274030127,1.6870202288573677,0.9604297205303982,0.9260272845846133,1.0,3.051612132413898,0.603
C,3,loadbal,1,1.0,0.7,1,5000,5000,0.8501497995773519,3.434327516264294,4.899717803588948,0.9789494646141988,0.9630780865705556,0.971,2.842384040532689,0.5876
C,3,loadbal,1,1.0,0.7,2,5000,5000,0.8247695384637836,3.290775129259157,4.784292109235313,0.9768080327643786,0.959742792139903,0.9772,2.7014289916371568,0.5956
C,3,loadbal,1,1.0,0.7,3,5000,5000,0.8572553485412016,3.272165977275779,4.687048439949537,0.9768938861068973,0.9609900431290423,0.9818,2.95502668724253,0.572
C,3,loadbal,1,1.0,0.7,4,5000,5000,0.8251445826610961,2.8993593904855803,5.0883616706058135,0.9750443554028589,0.9558092566598514,0.9784,2.816476907450663,0.5686
C,3,loadbal,1,1.0,0.7,5,5000,5000,0.9674044133901134,3.581673817114368,4.97531073074341,0.9800984468798758,0.9647669869008393,0.9702,3.051612132413898,0.5016
C,3,loadbal,1,1.0,1.0,1,5000,5000,0.8519811009246041,3.437545072685053,4.903177716672016,0.9784141852865695,0.9621546822228991,0.9708,2.842384040532689,0.5876
C,3,loadbal,1,1.0,1.0,2,5000,5000,0.8265938461570386,3.293948554782276,4.786016771169928,0.9760192139142599,0.9589894180455447,0.977,2.7014289916371568,0.5956
C,3,loadbal,1,1.0,1.0,3,5000,5000,0.8603030119531923,3.2742283016706892,4.690056375350982,0.9763314034622218,0.9600642820931894,0.9818,2.95502668724253,0.572
C,3,loadbal,1,1.0,1.0,4,5000,5000,0.8271296235817545,2.9002647631352323,5.08971643375559,0.9744445330395546,0.954703823890417,0.9782,2.816476907450663,0.5686
C,3,loadbal,1,1.0,1.0,5,5000,5000,0.970014636480574,3.5846427389063913,4.97790145224888,0.9795568903780295,0.9638486585367546,0.97,3.051612132413898,0.5016
C,3,loadbal,1,1.0,1.4,1,5000,5000,0.8546212899935597,3.4418223234790886,4.907790934116108,0.9776984398594283,0.9610581439128725,0.9708,2.842384040532689,0.5876
C,3,loadbal,1,1.0,1.4,2,5000,5000,0.8290262564147497,3.2970176867058103,4.788316320416045,0.9750879211455562,0.957537226690859,0.977,2.7014289916371568,0.5956
C,3,loadbal,1,1.0,1.4,3,5000,5000,0.8649331425521041,3.2756089034623814,4.694066955886389,0.9755845522779976,0.9587277702520655,0.9818,2.95502668724253,0.572
C,3,loadbal,1,1.0,1.4,4,5000,5000,0.8295820764622874,2.9014510478845184,5.091522784621958,0.97367544322526,0.9534547701834959,0.9782,2.816476907450663,0.5686
C,3,loadbal,1,1.0,1.4,5,5000,5000,0.9734964678496851,3.5886013012957454,4.981355747589433,0.9787581120455752,0.9627599134083483,0.97,3.051612132413898,0.5016
C,3,loadbal,1,2.0,0.7,1,5000,5000,6.613704198927849,38.63376562010019,43.39085142319145,0.9961012124942901,0.9938303438828324,0.3312,2.842384040532689,0.5834
C,3,loadbal,1,2.0,0.7,2,5000,5000,5.397486886614075,21.67435383905492,26.379923852259264,0.993293256352135,0.9895593562885232,0.4154,2.7014289916371568,0.5618
C,3,loadbal,1,2.0,0.7,3,5000,5000,7.306480318978174,27.72470209645727,36.36336890894085,0.9949657530299943,0.9922617429659764,0.3038,2.95629142194013,0.5812
C,3,loadbal,1,2.0,0.7,4,5000,5000,6.198409674208278,38.46266351339251,43.2796812447554,0.9961817038557296,0.9937372001230738,0.3714,2.816476907450663,0.5882
C,3,loadbal,1,2.0,0.7,5,5000,5000,13.179888137180342,38.81834940303673,44.97880073609344,0.9964670138385007,0.9946730127973236,0.1902,3.051612132413898,0.5702
C,3,loadbal,1,2.0,1.0,1,5000,5000,6.615417294279496,38.64063970252997,43.39197698530271,0.9960435564545616,0.9937736895855155,0.331,2.842384040532689,0.5834
C,3,loadbal,1,2.0,1.0,2,5000,5000,5.400613341555271,21.6776434979154,26.380744466230126,0.9931731093664745,0.9893883640069092,0.4152,2.7014289916371568,0.5618
C,3,loadbal,1,2.0,1.0,3,5000,5000,7.308969173533683,27.725865635572884,36.367647969128434,0.9948596931544995,0.9921974293308362,0.3032,2.95629142194013,0.5812
C,3,loadbal,1,2.0,1.0,4,5000,5000,6.199806436746485,38.465433739191866,43.28123309310721,0.9961016980934401,0.993678054142232,0.3712,2.816476907450663,0.5882
C,3,loadbal,1,2.0,1.0,5,5000,5000,13.181741455972826,38.82144417412347,44.98058547337581,0.9963922563509132,0.9945881030754711,0.1902,3.051612132413898,0.5702
C,3,loadbal,1,2.0,1.4,1,5000,5000,6.618169031914192,38.6498051457696,43.39347773478438,0.9959554107547512,0.9936611327736614,0.3308,2.842384040532689,0.5834
C,3,loadbal,1,2.0,1.4,2,5000,5000,5.405589911215088,21.68202970972937,26.38180967137316,0.9929903223740438,0.9891619996963074,0.415,2.7014289916371568,0.5618
C,3,loadbal,1,2.0,1.4,3,5000,5000,7.312287646274456,27.727417021060436,36.3733533827121,0.9947168116145959,0.9920383624252068,0.3026,2.95629142194013,0.5812
C,3,loadbal,1,2.0,1.4,4,5000,5000,6.202183523806397,38.469127373590865,43.28916084596456,0.9960216904690566,0.993591252201705,0.3712,2.816476907450663,0.5882
C,3,loadbal,1,2.0,1.4,5,5000,5000,13.18421254769595,38.82557053557253,44.982965123085705,0.99629990241887,0.9944807091884227,0.1902,3.051612132413898,0.5702
D,2,affine,1,0.5,0.7,1,5000,5000,0.09531097279280942,0.5618348461440178,0.8039225190422694,0.8909018515042376,0.7849153737029441,1.0,2.8881719279560367,0.5398
D,2,affine,1,0.5,0.7,2,5000,5000,0.09636718804460997,0.5913286133074621,0.7999231309790661,0.9045010124956201,0.8126224250629962,1.0,2.881025142577921,0.6066
D,2,affine,1,0.5,0.7,3,5000,5000,0.0968272437565929,0.5854911253328169,0.7875377149916302,0.908262630798966,0.8006187595606936,1.0,3.126202526122318,0.6118
D,2,affine,1,0.5,0.7,4,5000,5000,0.09217404605418977,0.5723688100922857,0.7977092247209154,0.8983709579782487,0.7862234826375222,1.0,2.8933636055863015,0.615
D,2,affine,1,0.5,0.7,5,5000,5000,0.09505997952317102,0.5919795727315631,0.8207864225842073,0.9010157926792499,0.798367704452672,1.0,3.0616361192421286,0.6098
D,2,affine,1,0.5,1.0,1,5000,5000,0.09781024061464905,0.564184862249104,0.8059424893240428,0.8874083789097424,0.7774052552985817,1.0,2.8881719279560367,0.5398
D,2,affine,1,0.5,1.0,2,5000,5000,0.0983098732219787,0.5938618627288605,0.803403099843424,0.9006883789810316,0.807374954549406,1.0,2.881025142577921,0.6066
D,2,affine,1,0.5,1.0,3,5000,5000,0.098623282307301,0.5877615323660507,0.7887899582745621,0.9039993115006537,0.7950808142264858,1.0,3.126202526122318,0.6118
