cv,service_scale,seed,n_completed,n_arrivals,ttft_p50,ttft_p95,ttft_p99,qfrac_p99,qfrac_p95,attainment_p95_slo,throughput,max_pair_share
2.0,1.0,4,5000,5000,0.3828440335989072,2.1866082492218144,3.266035108476238,1.0,1.0,0.9964,2.8933636055863015,0.5
2.0,1.0,5,5000,5000,0.45057390735041736,2.3362233254532736,3.606384281236544,1.0,1.0,0.9942,3.0616361192421286,0.5
2.0,2.0,1,5000,5000,4.659721159571291,20.829960918240687,26.75765991756182,1.0,1.0,0.444,2.8881865052547124,0.5
2.0,2.0,2,5000,5000,5.573533772154704,19.35582247558067,30.033623646180793,1.0,1.0,0.38,2.8811999637280095,0.5
2.0,2.0,3,5000,5000,11.523565406735088,25.54303418421048,33.88518044090854,1.0,1.0,0.1594,3.126202526122318,0.5
2.0,2.0,4,5000,5000,4.916296110480275,46.24280921325258,53.77239598960499,1.0,1.0,0.4388,2.8946970662203424,0.5
2.0,2.0,5,5000,5000,13.94434057753108,49.71011312604342,56.5381712353056,1.0,1.0,0.2038,3.0616385244481985,0.5
3.0,0.5,1,5000,5000,0.21400439637372415,1.2553533829876542,1.9156960678457715,1.0,1.0,1.0,2.842384040532689,0.5
3.0,0.5,2,5000,5000,0.2089793490960119,1.1822753071668217,1.726587918505053,1.0,1.0,1.0,2.7014289916371568,0.5
3.0,0.5,3,5000,5000,0.22730004066875154,1.3047706399849266,1.8450868724295346,1.0,1.0,1.0,2.95502668724253,0.5
3.0,0.5,4,5000,5000,0.2083319287594918,1.0986991358852607,1.6430777049857932,1.0,1.0,1.0,2.814400288006337,0.5
3.0,0.5,5,5000,5000,0.24417021420435076,1.2745613220133465,1.8912683076006305,1.0,1.0,1.0,3.051612132413898,0.5
3.0,1.0,1,5000,5000,0.9481092848003527,3.8838131016638213,5.542198069755219,1.0,1.0,0.9542,2.842384040532689,0.5
3.0,1.0,2,5000,5000,0.8361352496738732,3.913036212264888,5.594268974295836,1.0,1.0,0.9536,2.7014289916371568,0.5
3.0,1.0,3,5000,5000,0.9521202694647286,3.9375929931653255,5.7899695077274105,1.0,1.0,0.9518,2.95629142194013,0.5
3.0,1.0,4,5000,5000,0.757288558790151,3.3119767937664792,5.356805232991266,1.0,1.0,0.9738,2.814400288006337,0.5
3.0,1.0,5,5000,5000,1.011264247244469,4.082412644238551,5.88469661238712,1.0,1.0,0.9464,3.053469726139806,0.5
3.0,2.0,1,5000,5000,9.057146283854564,49.63376338639107,56.795627742170865,1.0,1.0,0.2416,2.845172007630828,0.5
3.0,2.0,2,5000,5000,6.969635117535603,26.230751550721163,33.44055970845591,1.0,1.0,0.3398,2.7014289916371568,0.5
3.0,2.0,3,5000,5000,11.111080655850344,36.07106894657415,43.831123783589895,1.0,1.0,0.2036,2.95502668724253,0.5
3.0,2.0,4,5000,5000,8.404798728697699,47.582784435040516,54.44062150011894,1.0,1.0,0.2966,2.816390455326655,0.5
3.0,2.0,5,5000,5000,22.008079703762633,54.312338236104374,73.00137982443175,1.0,1.0,0.137,3.051612132413898,0.5
