run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3
e2_B_p0.7_c016_l0.80_L1_g0.5_r09,B,0.7,0.8,4.571428571428572,L1,0.5,16,9,1009,200,57.05915475692889,0,9717,0.35218356622420566,0.3301162007388125,0.42395687384225206,0.25644424213849226,0.6538034495166016,0.5053560716653738,0.2912477214763953,0.53125,0.16802520107555693,0.14896824352626936,1.0,1.0,1.0,0.37167507300307895,0.36551070998658486,0.3765602312870299,0.37136400231444633,2,0.3765602312870299,False,6154.0,2510,7425.0,2433,7938.0,2541,7045.0,2497
e2_A_p0.7_c016_l0.80_L2_g0.5_r03,A,0.7,0.8,4.571428571428572,L2,0.5,16,3,1003,200,63.703784078487175,164,9718,0.3519478965211716,0.7587291031899714,4.73072384774751,0.8577106638455791,1.2788224144497753,0.5240641822461354,2.1274771560337467,0.53076171875,4.469946079546286,0.11887148464820112,0.943818580833943,0.9937565036420395,0.9497483310800202,0.8358848101780217,0.21695986572356127,0.2075338374228813,0.2158136146993386,0,0.8358848101780217,False,3261.0,7194,2111.0,953,1973.0,905,2142.0,943
e2_A_p0.7_c016_l0.80_L2_g0.5_r02,A,0.7,0.8,4.571428571428572,L2,0.5,16,2,1002,200,58.315510237772315,13,9726,0.35333281816610207,0.7573178355583631,3.180504674474371,0.8630096361042502,0.6301949384278734,0.5028279780421276,2.327428365999946,0.529296875,2.933286656511318,0.11063250709442321,0.9241850989522701,1.0,0.9241850989522701,0.8388446556000235,0.21375164523396475,0.20272111944192306,0.22144324195419257,0,0.8388446556000235,False,3953.0,7211,4082.0,938,4070.0,881,2133.0,962
e2_A_p0.7_c016_l0.80_L2_g0.5_r04,A,0.7,0.8,4.571428571428572,L2,0.5,16,4,1004,200,59.54618138705686,0,9728,0.34719847142044885,0.6504565878918237,2.2608848829601436,0.7152637827779635,0.6310862641675385,0.5030643913769642,1.639674653568351,0.529296875,2.004444503987151,0.12990604720826104,0.9789847565487643,1.0,0.9789847565487643,0.8280975327129478,0.21662824909421913,0.21426194018833053,0.22131358899577222,0,0.8280975327129478,False,4032.0,7129,2125.0,954,2102.0,942,2155.0,969
e2_A_p0.7_c016_l0.80_L2_g0.5_r05,A,0.7,0.8,4.571428571428572,L2,0.5,16,5,1005,200,72.77526589032337,10,9687,0.34854536518119544,0.6768211867462886,2.5640605742569944,0.7521154340613303,0.6331863537141988,0.503775163805692,1.8498479042458986,0.529541015625,2.3114958905414236,0.13608407513465795,0.9634074074074074,1.0,0.9634074074074074,0.8274233497691649,0.2086414311319637,0.21706845478384484,0.21699472117155186,0,0.8274233497691649,False,3105.0,7136,3918.0,928,4068.0,967,3977.0,961
e2_A_p0.7_c016_l0.80_L2_g0.5_r06,A,0.7,0.8,4.571428571428572,L2,0.5,16,6,1006,200,62.347571069000075,67,9702,0.3568980450439599,0.7358725038442749,3.522098668708105,0.826241421107901,0.7445439408123259,0.5102921471289098,2.022480494848969,0.530029296875,3.2582469745328515,0.12139347720349945,0.9484625378951927,1.0,0.9484625378951927,0.8459866398022567,0.20644599702789626,0.2092902927534213,0.2001234215836779,0,0.8459866398022567,False,3956.0,7279,4078.0,907,4029.0,923,4090.0,882
e2_A_p0.7_c016_l0.80_L2_g0.5_r07,A,0.7,0.8,4.571428571428572,L2,0.5,16,7,1007,200,62.833750864310616,198,9726,0.3504982007910014,0.8206504504600013,4.960777668876714,0.9465011331443395,1.7840240515059695,0.5254403351436954,2.502982349621024,0.5302734375,4.711480793876715,0.14749878722337506,0.9175832233465318,0.9920880632954936,0.9249009813690596,0.845727678282768,0.2210030334569335,0.21747959123129892,0.2158132705972189,0,0.845727678282768,False,3932.0,7171,2091.0,952,2008.0,942,3943.0,928
e2_A_p0.7_c016_l0.80_L2_g0.5_r09,A,0.7,0.8,4.571428571428572,L2,0.5,16,9,1009,200,58.735908037798346,8,9702,0.3522081133084978,0.7548764997433409,3.1160095488895343,0.8608895863527554,0.6260632319339323,0.5026384660864582,2.2766752245382804,0.529541015625,2.8782375483021587,0.12218689409980969,0.92914653784219,1.0,0.92914653784219,0.8456932330209659,0.21908083312421484,0.20956106744058806,0.21108772090868813,0,0.8456932330209659,False,3204.0,7203,2081.0,957,3998.0,907,4000.0,926
e2_A_p0.7_c016_l0.80_L2_g0.5_r08,A,0.7,0.8,4.571428571428572,L2,0.5,16,8,1008,200,58.23238167351669,18,9711,0.34940895696648067,0.738376653092712,3.050775476383671,0.8386449295945295,0.6829512005528574,0.5050699953330875,2.1674410770992463,0.52978515625,2.7993351085418796,0.17455379393111875,0.9353651354534747,1.0,0.9353651354534747,0.8435288273945013,0.2214597722089059,0.2099991259879617,0.22287605894649426,0,0.8435288273945013,False,3158.0,7156,3876.0,965,3987.0,911,2019.0,961
e2_A_p0.7_c016_l0.80_L2_g0.5_r10,A,0.7,0.8,4.571428571428572,L2,0.5,16,10,1010,200,70.25001905001136,32,9696,0.35566306007708176,0.7391236364456872,3.2538973409419576,0.8345124454314368,0.6569520590545037,0.5040766140895905,2.078342796742618,0.530029296875,3.009809369783197,0.13598836240148357,0.9434536755110918,1.0,0.9434536755110918,0.8539568754129058,0.2169855045683108,0.2143781801579157,0.20683665843202992,0,0.8539568754129058,False,3974.0,7229,2054.0,940,1959.0,927,2105.0,898
e2_B_p0.7_c016_l0.80_L2_g0.5_r01,B,0.7,0.8,4.571428571428572,L2,0.5,16,1,1001,200,57.59696062282467,0,9716,0.3452894422726003,0.3330994675166654,0.4192483606083624,0.25579583231858527,0.6561534696118769,0.5052419032533401,0.2822564122213175,0.5338236647140775,0.16456406328231882,0.15593966246092406,1.0,1.0,1.0,0.37156718847167136,0.3660554865240532,0.3622321513273877,0.3705891601269764,0,0.37156718847167136,False,3096.0,2484,3038.0,2510,3158.0,2470,3051.0,2531
