run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,sanity_flag,ts_utc
e1_A_p0.9_l0.50_L2_g2.0_r07,A,0.9,0.5,0.5555555555555556,L2,2.0,32,7,1007,200,401.18430757489193,0,9783,0.4504935072400906,1.57854858459907,4.347366629844128,1.532485256565642,2.1220703125,1.9985013249741468,3.128281222335432,2.11328125,3.3448590930174773,0.0,0.7993421052631579,0.5098241985522234,0.637804758682617,0.5184600033812159,0.0323135199266898,0.0335105906653346,0.0322077083236574,0,0.5184600033812159,False,3995.0,9124,2053.0,288,2128.0,296,1930.0,286,False,2026-08-27T15:05:54.429255+00:00
e1_A_p0.9_l0.50_L2_g2.0_r08,A,0.9,0.5,0.5555555555555556,L2,2.0,32,8,1008,200,391.6659305025164,0,9773,0.4508568805658674,1.608317343678935,4.400740948495985,1.5658752800551854,2.123046875,2.0011179744884555,3.2771162916798846,2.111328125,3.3789849936063723,0.0,0.7816326530612245,0.4805876180482686,0.6148509995917797,0.5193088325966614,0.03317980651045,0.0314882509860609,0.0314526175038349,0,0.5193088325966614,False,3158.0,9140,4096.0,294,3890.0,280,4038.0,278,False,2026-08-27T15:05:55.636821+00:00
e1_A_p0.9_l0.50_L2_g2.0_r09,A,0.9,0.5,0.5555555555555556,L2,2.0,32,9,1009,200,374.3059542816752,0,9779,0.452606271420533,1.6089216636981758,4.909434135874351,1.5678686024657504,2.123046875,1.9990800802228783,3.292393127683237,2.11328125,3.931958898210716,0.0,0.7879746835443038,0.4962406015037593,0.6297671890569798,0.517828645480776,0.0308716446917325,0.0316418824608985,0.0302879758743222,0,0.517828645480776,False,3204.0,9165,2166.0,278,2045.0,280,4068.0,271,False,2026-08-27T15:05:56.855660+00:00
e1_A_p0.9_l0.50_L2_g2.0_r10,A,0.9,0.5,0.5555555555555556,L2,2.0,32,10,1010,200,443.676381753601,0,9769,0.4518935286412873,1.553593750453013,4.22549902627971,1.5063101848015614,2.123046875,1.9977071559175528,3.023817693497405,2.1123046875,3.2120209929945425,0.0,0.8082455544229245,0.5095744680851064,0.6304698680946476,0.5215977293874757,0.0337659250091573,0.0306010957049599,0.0310218988901915,0,0.5215977293874757,False,3974.0,9142,2172.0,301,2037.0,272,3982.0,278,False,2026-08-27T15:05:58.010555+00:00
e1_A_p0.9_l0.65_L1_g0.5_r01,A,0.9,0.65,2.8888888888888893,L1,0.5,32,1,1001,200,68.3832752668072,0,9780,0.448519993754879,0.4821321020745825,1.470794628751528,0.480185205494544,0.53048828125,0.4989815021902766,1.1005480262305922,0.527587890625,1.2161223767716525,0.0,0.9989734230637618,1.0,0.9989734230637618,0.6505425497791402,0.0438069616307881,0.0439002174231096,0.0445469800284123,0,0.6505425497791402,False,7405.0,9063,6272.0,305,8192.0,308,8093.0,307,False,2026-08-27T15:05:59.181229+00:00
e1_A_p0.9_l0.65_L1_g0.5_r02,A,0.9,0.65,2.8888888888888893,L1,0.5,32,2,1002,200,73.9376027191625,0,9780,0.4513099117242141,0.4982695663052555,1.758319802035389,0.4980679718331992,0.530517578125,0.5001368007279643,1.132827118433692,0.5283203125,1.5017632546484716,0.0,0.994222272572788,1.0,0.994222272572788,0.6638903815717656,0.0430234852147685,0.044102221150186,0.0409641523021887,0,0.6638903815717656,False,7848.0,9112,6404.0,292,6336.0,298,6086.0,282,False,2026-08-27T15:06:00.333711+00:00
e1_A_p0.9_l0.65_L1_g0.5_r03,A,0.9,0.65,2.8888888888888893,L1,0.5,32,3,1003,200,83.2225448181887,0,9775,0.4520446251283541,0.5024473912563093,1.7384469864836527,0.5028820104047762,0.531005859375,0.4983863467261905,1.18041800677056,0.5275390625,1.4812080619390753,0.0,0.9943374858437146,1.0,0.9943374858437146,0.6608463226335559,0.0412283105337562,0.0439397066406417,0.043133026342791,0,0.6608463226335559,False,7318.0,9102,6353.0,285,6189.0,302,6151.0,297,False,2026-08-27T15:06:01.527586+00:00
e1_A_p0.9_l0.65_L1_g0.5_r04,A,0.9,0.65,2.8888888888888893,L1,0.5,32,4,1004,200,74.90083355754494,0,9777,0.4468497421707704,0.4760671812489339,1.5766001658286026,0.4732650979486072,0.530517578125,0.4996835824493731,1.0606512934976982,0.52783203125,1.3259502768268534,0.0,0.9954233409610984,1.0,0.9954233409610984,0.6542194720088452,0.0476041366112644,0.0457825889685338,0.0446303841122056,0,0.6542194720088452,False,8154.0,9030,8188.0,328,8156.0,316,6087.0,308,False,2026-08-27T15:06:02.745023+00:00
e1_A_p0.9_l0.65_L1_g0.5_r05,A,0.9,0.65,2.8888888888888893,L1,0.5,32,5,1005,200,85.97044322943744,0,9767,0.4492817435081452,0.4878824306819562,1.6586403897861186,0.4864837700368365,0.5305346679687499,0.5002269476232394,1.1052294168718613,0.527587890625,1.4119739431664469,0.0,0.99601048672062,1.0,0.99601048672062,0.6536999104203106,0.0432151727454517,0.0441522472105739,0.0443510639082046,0,0.6536999104203106,False,7142.0,9064,7879.0,304,6185.0,312,8107.0,303,False,2026-08-27T15:06:03.911841+00:00
e1_A_p0.9_l0.65_L1_g0.5_r06,A,0.9,0.65,2.8888888888888893,L1,0.5,32,6,1006,200,71.9288104010603,0,9774,0.4506852937849199,0.4886179248814721,1.5299415192989148,0.4873737628205504,0.53085693359375,0.5000145528241355,1.1123422177002549,0.52781982421875,1.2753400309550758,0.0,0.9988651838402178,1.0,0.9988651838402178,0.658862804827621,0.0460498796947036,0.041403620965141,0.0422604409496825,0,0.658862804827621,False,8192.0,9087,8010.0,319,6288.0,288,6192.0,289,False,2026-08-27T15:06:05.146532+00:00
e1_A_p0.9_l0.65_L1_g0.5_r07,A,0.9,0.65,2.8888888888888893,L1,0.5,32,7,1007,200,77.31325701560422,0,9783,0.4504935072400906,0.4949674398172103,1.5047386825774314,0.4944565299931112,0.530517578125,0.4996253312435367,1.1088862341442791,0.5283203125,1.259084385702432,0.0,0.999092558983666,1.0,0.999092558983666,0.6699438236099936,0.0397970641068456,0.0514984823594307,0.040224444048497,0,0.6699438236099936,False,8024.0,9095,8066.0,268,6322.0,347,8184.0,272,False,2026-08-27T15:06:06.352513+00:00
e1_A_p0.9_l0.65_L1_g0.5_r08,A,0.9,0.65,2.8888888888888893,L1,0.5,32,8,1008,200,75.38127494639737,0,9773,0.4508568805658674,0.5152936577488845,1.631634510318012,0.5169159364804958,0.53076171875,0.5002794936221143,1.1852989372788898,0.52783203125,1.3834854710942843,0.0,0.998639455782313,1.0,0.998639455782313,0.6711827376254412,0.0439146546804347,0.043604139822522,0.0413426899275879,0,0.6711827376254412,False,8119.0,9105,6328.0,294,7915.0,298,6310.0,287,False,2026-08-27T15:06:07.584512+00:00
e1_A_p0.9_l0.65_L1_g0.5_r09,A,0.9,0.65,2.8888888888888893,L1,0.5,32,9,1009,200,72.25258512969778,0,9779,0.452606271420533,0.5119570715863757,1.77593395036867,0.5132394116604083,0.53076171875,0.4997700200557196,1.2129193118723145,0.5283203125,1.5155319976840735,0.0,0.9944620253164556,1.0,0.9944620253164556,0.667206372124584,0.0427603343614234,0.0452580391098654,0.0386437147067079,0,0.667206372124584,False,8175.0,9118,8169.0,289,8151.0,311,6319.0,264,False,2026-08-27T15:06:08.728214+00:00
e1_A_p0.9_l0.65_L1_g0.5_r10,A,0.9,0.65,2.8888888888888893,L1,0.5,32,10,1010,200,85.78977894300017,0,9768,0.4518861866534325,0.4882095309572261,1.571242749399254,0.4870151242353375,0.53076171875,0.4994267889793884,1.087990823563466,0.528076171875,1.3161929527944771,0.0,0.9989805165382872,1.0,0.9989805165382872,0.6725310703856374,0.0449835665297715,0.0424223837178752,0.0422054955038611,0,0.6725310703856374,False,8186.0,9098,6286.0,311,6110.0,290,6170.0,285,False,2026-08-27T15:06:09.981449+00:00
e1_A_p0.9_l0.65_L1_g1.0_r01,A,0.9,0.65,1.4444444444444446,L1,1.0,32,1,1001,200,136.7665505336144,0,9780,0.448519993754879,0.9670549071367416,3.0296972570783427,0.9634835711600128,1.0609765625,0.9979630043805532,2.201111586614752,1.05517578125,2.5255648211956414,0.0,0.9289380631915136,1.0,0.9289380631915136,0.6496327561976238,0.0478688009927745,0.0449217761215072,0.0403733755495447,0,0.6496327561976238,False,7405.0,9056,6236.0,334,6141.0,314,8062.0,280,False,2026-08-27T15:06:11.234362+00:00
e1_A_p0.9_l0.65_L1_g1.0_r02,A,0.9,0.65,1.4444444444444446,L1,1.0,32,2,1002,200,147.875205438325,0,9780,0.4513099117242141,1.0003455489823667,3.508065554342872,1.0003533167395544,1.06103515625,1.0002736014559286,2.29849653447636,1.056640625,2.975689387321736,0.0,0.9204712812960236,1.0,0.9204712812960236,0.6645770660594102,0.0431075734411149,0.0425842377187893,0.0417113630195943,0,0.6645770660594102,False,7848.0,9114,6391.0,296,6369.0,290,7936.0,283,False,2026-08-27T15:06:12.422259+00:00
