run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,variant,replication_active,replication_kv_extra,total_input_tokens,replication_tokens,replication_share
e3_C_p0.7_c016_l0.50_L1_g1.0_base_r02,C,0.7,0.5,1.4285714285714286,L1,1.0,16,2,1002,200,181.6711598001444,0,9732,0.3532695979445731,0.8598843713887626,2.2912358606254126,0.8014009947495374,1.06125,1.0006170330599817,1.6389465380026178,1.05712890625,1.7717984176314905,0.0,0.9803636363636363,1.0,0.9803636363636363,0.5581630657139278,0.11976386914176668,0.12126766842136395,0.123585479699711,0,0.5581630657139278,False,7841.0,7448,6215.0,840,6220.0,835,6137.0,861,base,False,0,19928123.0,0,0.0
e3_C_p0.7_c016_l0.50_L1_g1.0_base_r01,C,0.7,0.5,1.4285714285714286,L1,1.0,16,1,1001,200,184.24584139148243,0,9716,0.3452894422726003,0.8401278893515053,2.1264562585721705,0.768490889265477,1.06201171875,0.9996516640365997,1.5272955129653139,1.0556640625,1.6241169903436095,0.0,0.9861297539149888,1.0,0.9861297539149888,0.5400778891241068,0.12844403263457674,0.12944138051136633,0.12113403113344942,0,0.5400778891241068,False,7319.0,7290,8104.0,906,8121.0,931,6225.0,856,base,False,0,19884535.0,0,0.0
e3_C_p0.7_c016_l0.50_L1_g1.0_base_r04,C,0.7,0.5,1.4285714285714286,L1,1.0,16,4,1004,200,189.67008414687018,0,9729,0.347162916454932,0.8632373498097872,2.328611501878793,0.8027612886788987,1.06201171875,1.0007328898708276,1.6867324599836135,1.056640625,1.8069968038139264,0.0,0.976912831138079,1.0,0.976912831138079,0.5526440710625626,0.12695112574944734,0.1197031919649239,0.12596019174678522,0,0.5526440710625626,False,8085.0,7371,6119.0,890,6378.0,833,8192.0,889,base,False,0,19930608.0,0,0.0
e3_C_p0.7_c016_l0.50_L1_g1.0_base_r03,C,0.7,0.5,1.4285714285714286,L1,1.0,16,3,1003,200,200.8987421649551,0,9722,0.35196005995791524,0.8786742389205777,2.4835598035381112,0.8273844478281,1.06201171875,1.0002829738340184,1.767358160015169,1.0576171875,1.9901483706961427,0.0,0.9732377888271424,1.0,0.9732377888271424,0.5563764471474235,0.12461406577547147,0.12041108440109546,0.12112358872484665,0,0.5563764471474235,False,7433.0,7423,8130.0,863,8067.0,846,6279.0,852,base,False,0,19894621.0,0,0.0
e3_C_p0.7_c016_l0.50_L1_g1.0_base_r05,C,0.7,0.5,1.4285714285714286,L1,1.0,16,5,1005,200,231.50184911272672,0,9687,0.34854536518119544,0.8566537685285568,2.5322316731643455,0.7934421064219508,1.06201171875,1.0019308264855165,1.6413894444473949,1.05712890625,2.034335556624113,0.0,0.9754074074074074,1.0,0.9754074074074074,0.5449888398594236,0.12542151229215784,0.11898605146436778,0.1293704125466167,0,0.5449888398594236,False,7306.0,7341,8188.0,885,8073.0,843,8044.0,913,base,False,0,19830991.0,0,0.0
e3_C_p0.7_c016_l0.50_L1_g1.0_base_r06,C,0.7,0.5,1.4285714285714286,L1,1.0,16,6,1006,200,198.04621179580025,0,9703,0.35691300501077794,0.8574824266411464,2.238552183671987,0.7996622658301097,1.06201171875,1.0018348857758712,1.6212348944508443,1.05615234375,1.7219162543862234,0.0,0.980080831408776,1.0,0.980080831408776,0.5570998776815407,0.1171413392264439,0.12028872727657125,0.11928494777708949,0,0.5570998776815407,False,7189.0,7478,8041.0,823,8016.0,841,6177.0,841,base,False,0,19876754.0,0,0.0
e3_C_p0.7_c016_l0.50_L1_g1.0_base_r07,C,0.7,0.5,1.4285714285714286,L1,1.0,16,7,1007,200,200.731381672044,0,9726,0.3504982007910014,0.871931891867347,2.202472917128152,0.8173225356814481,1.0615234375,1.0000299998245692,1.6984655463682423,1.056640625,1.7107503358281193,0.0,0.9800557266461358,1.0,0.9800557266461358,0.5633750674215335,0.12853212362979102,0.12227816620292489,0.123367767168444,0,0.5633750674215335,False,7139.0,7409,6055.0,883,8117.0,841,6172.0,851,base,False,0,19922088.0,0,0.0
e3_C_p0.7_c016_l0.50_L1_g1.0_base_r08,C,0.7,0.5,1.4285714285714286,L1,1.0,16,8,1008,200,182.8653557124622,0,9718,0.3494146633885882,0.8774232156674517,2.282419840423481,0.8239328839724557,1.06201171875,1.0018921593616963,1.7103217381189095,1.056640625,1.7860256771227885,0.0,0.9760188318375754,1.0,0.9760188318375754,0.5617096360154896,0.1282962808386403,0.12412923118853253,0.12219574101362074,0,0.5617096360154896,False,8134.0,7395,7953.0,888,7864.0,856,8153.0,842,base,False,0,19919393.0,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r01,A,0.7,0.5,1.4285714285714286,L2,1.0,16,1,1001,200,184.24584139148243,0,9716,0.3452894422726003,0.8445996432390376,2.1110326996866573,0.7749224421734495,1.06201171875,0.9997592689928627,1.5546192366359828,1.0556640625,1.6043016313692353,0.0,0.9865771812080537,1.0,0.9865771812080537,0.5414640946568289,0.127718913356421,0.12256520803996027,0.1273491173502892,0,0.5414640946568289,False,3179.0,7306,4080.0,913,3973.0,869,3950.0,904,base,False,0,,0,0.0
e3_A_p0.7_c016_l0.50_L2_g1.0_base_r02,A,0.7,0.5,1.4285714285714286,L2,1.0,16,2,1002,200,181.85772975119124,0,9732,0.3532695979445731,0.8570453270598041,2.234060475127213,0.7973950735323518,1.06103515625,1.0005859266402148,1.620806868008003,1.05712890625,1.734547673065531,0.0,0.9826909090909091,1.0,0.9826909090909091,0.5510595997272174,0.12408656089084394,0.12481889816784,0.12284027005750472,0,0.5510595997272174,False,3953.0,7407,2017.0,868,1994.0,860,2116.0,859,base,False,0,,0,0.0
