run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,replication_active,replication_kv_extra
e2_A_p0.5_c008_l0.65_L1_g1.0_r05,A,0.5,0.65,2.6,L1,1.0,8,5,1005,200,170.4036085379119,274,9569,0.2469355218107211,1.1042027287740759,3.8897828118212012,1.16933373034712,1.731943093884775,1.0406983218739603,2.6175341265523113,1.3356867595549153,3.3875045981643224,0.624563854710036,0.8772226926333616,0.9946336429308565,0.8819555812012112,0.7655673133227223,0.389053665344354,0.38716295879485935,0.3900570960462603,0,0.7655673133227223,False,7305.0,5444,8014.0,1512,8163.0,1506,8166.0,1521,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r06,A,0.5,0.65,2.6,L1,1.0,8,6,1006,200,137.49853308922724,165,9618,0.2562760255468829,1.0970755093581992,3.1728238642289166,1.1601369933335877,1.5715162304652228,1.030731114759812,2.4655300053621545,1.2595840972668668,2.6684714700905126,0.564002632118173,0.8795376191441898,0.9993599317260508,0.8801009438362122,0.7843702693563492,0.38009383906283595,0.3802531569017889,0.3755565077799437,0,0.7843702693563492,False,6191.0,5596,6205.0,1466,8108.0,1466,8125.0,1456,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r07,A,0.5,0.65,2.6,L1,1.0,8,7,1007,200,149.95217666753933,378,9625,0.24717067299060114,1.167570016381809,5.853835665052979,1.263217817732763,3.353951450425532,1.0740254445303516,2.8683726126716116,1.3823891841743716,5.377951380023097,0.6135600276504225,0.8686698886320655,0.9852034525277436,0.88171624490689,0.7821611943191477,0.40175735758412173,0.395648504509688,0.39874225760161425,0,0.7821611943191477,False,8100.0,5454,8179.0,1520,7925.0,1497,6227.0,1511,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r08,A,0.5,0.65,2.6,L1,1.0,8,8,1008,200,140.98274675343467,270,9605,0.24471227570398993,1.0959631401663064,3.2421815128245544,1.158037900783328,1.6096607120149116,1.036358701655472,2.534209060100602,1.3047055532481935,2.721972704323926,0.5932873364831267,0.8839532412327311,0.9993877551020408,0.8844947686421039,0.7775626179055543,0.40549732664489,0.39917750560756254,0.3942675388563717,0,0.7775626179055543,False,7222.0,5414,8033.0,1544,7964.0,1520,7955.0,1505,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r09,A,0.5,0.65,2.6,L1,1.0,8,9,1009,200,139.6983858740674,220,9607,0.247166655793749,1.0862016327181383,3.106749099049655,1.1350545630642943,1.7034812973787798,1.0384845832627467,2.3995355795712157,1.315999111618669,2.6063752942891907,0.6422935415307641,0.8955129555508743,0.9969135802469136,0.8982854414813723,0.772215791503315,0.3996703538324524,0.3964263972167657,0.39370498031938644,0,0.772215791503315,False,7269.0,5429,8171.0,1528,6129.0,1514,7837.0,1513,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r10,A,0.5,0.65,2.6,L1,1.0,8,10,1010,200,177.73883861033806,252,9566,0.25323907987881755,1.1279760275029926,4.648563441557758,1.205948204850012,1.7441249686213043,1.0479558624434062,2.562922098866284,1.3106614746116065,4.128836879057779,0.5969781074530611,0.8804953560371517,0.9923744969286168,0.8872611688049932,0.7960333188277118,0.3943431430014922,0.3924816803440153,0.3868658559125101,0,0.7960333188277118,False,8116.0,5532,6218.0,1499,8064.0,1486,6249.0,1467,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r01,A,0.5,0.65,2.6,L2,1.0,8,1,1001,200,161.25043319588062,187,9586,0.2446947427334687,1.0721948209050007,3.2720624374320657,1.1084651583827096,1.7008678939691884,1.0374795611876675,2.339680678749084,1.3067936815491605,2.809175979027496,0.618225167160872,0.9065699658703071,0.995304205798285,0.9108471164785157,0.7637525174905013,0.39589203881645224,0.38132852971992026,0.39366570489053804,0,0.7637525174905013,False,3179.0,5427,4063.0,1544,4012.0,1486,4086.0,1535,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r02,A,0.5,0.65,2.6,L2,1.0,8,2,1002,200,151.36091732999697,386,9596,0.25664424218601944,1.1503273716596663,3.9193987542499937,1.2475419176151301,1.802175395360655,1.047826485590161,2.7879679268846314,1.3760855016018354,3.3939252913665334,0.6819138764200326,0.8538071065989847,0.9946478270177692,0.858401419484257,0.7869116414084115,0.37814319633955645,0.38840360358466786,0.3766578498894089,0,0.7869116414084115,False,3953.0,5588,2017.0,1458,3981.0,1493,2133.0,1454,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r03,A,0.5,0.65,2.6,L2,1.0,8,3,1003,200,165.7842204086478,409,9578,0.2499924106968613,1.1823022900797484,6.589603974082512,1.288679543483342,2.3801996690362417,1.0761025910319297,2.919687851415711,1.3639165420407606,6.072967335703451,0.6274860380251623,0.8685475444096133,0.9870644690173169,0.8799299049577841,0.7745629215301106,0.3902570425001441,0.38858676811265064,0.38965485637971337,0,0.7745629215301106,False,3261.0,5479,2012.0,1508,4055.0,1501,2142.0,1506,,
e2_A_p0.5_c008_l0.65_L2_g1.0_r04,A,0.5,0.65,2.6,L2,1.0,8,4,1004,200,148.9515714033653,223,9618,0.2456280614533045,1.0817989161144574,3.2784517452582236,1.1297308318122896,1.7030069621097257,1.0354934717996673,2.3879076103905845,1.2855695143165917,2.7796640546030744,0.6359105609421254,0.8990689801100297,0.9975470155355682,0.901279805470956,0.7728784369781775,0.3900183942654092,0.39080950199867526,0.39309714672775514,0,0.7728784369781775,False,4032.0,5456,2125.0,1507,3932.0,1514,2102.0,1516,,
