run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,cv
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r01,A,0.7,0.65,1.8571428571428572,L2,1.0,32,1,1001,200,160.28004986806783,1697,9703,0.34538699824480257,6.098606177306162,29.623604134865595,7.890841987722564,13.609316900103515,2.10379903648451,21.839686428197616,7.0743479466870545,29.095513314553102,2.1260423525206718,0.19408778739922364,0.7810316139767055,0.24850183260957265,0.6595825231939334,0.18877213360304917,0.19058991914291765,0.19254823738062948,0,0.6595825231939334,False,3179.0,6955,3944.0,1002,4037.0,1015,4041.0,1020,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv2_r10,A,0.7,0.65,1.8571428571428572,L2,1.0,32,10,1010,200,176.42787273116974,0,9697,0.3556765299479347,1.8912778463400006,8.467789665006828,2.2354826871127322,1.9281781962027889,1.0430016792623644,5.8085348842685285,1.3815206135445008,8.001825740687078,0.9089722617371353,0.5621919396926646,0.9949982136477313,0.5650180392099706,0.6777783521268546,0.16972425461234475,0.1718588204456236,0.1663888275403654,0,0.6777783521268546,False,3974.0,7221,2054.0,928,2172.0,938,4021.0,906,2
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r02,A,0.7,0.65,1.8571428571428572,L2,1.0,32,2,1002,200,155.57809981056806,2321,9720,0.3532930960765409,7.874957219693762,44.238454812277546,9.78037156310783,29.248354895495034,3.288739099741291,30.309021876464236,16.249002326274745,43.69156028102755,2.8485144960559228,0.17533129459734964,0.7160883280757098,0.24484590479013144,0.7136726789382215,0.19469705940608054,0.1951989903983098,0.18605319294704306,0,0.7136726789382215,False,3953.0,7117,2053.0,975,2133.0,973,4011.0,928,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r03,A,0.7,0.65,1.8571428571428572,L2,1.0,32,3,1003,200,152.19339280361103,1295,9720,0.351978508113528,5.492688994392386,25.231105467231686,7.051444723186468,10.728799686103178,1.7961184367215062,18.50471655589081,4.834312299821478,24.71762890473168,2.9598906967084875,0.19599239432499635,0.7884148456468956,0.24859044119620083,0.675176409827095,0.18291156265593395,0.18355821442553835,0.1837049604798333,0,0.675176409827095,False,3261.0,7092,2142.0,970,4055.0,965,2012.0,967,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r04,A,0.7,0.65,1.8571428571428572,L2,1.0,32,4,1004,200,147.04159740208175,1492,9722,0.3473122106367578,6.061670664873107,30.404003809984463,7.7244836630873985,15.887830156568397,2.275926882285468,23.57741779370462,9.474550463187777,29.93899404435946,3.510069107294416,0.18726868985936343,0.7741826761038085,0.24189212138125002,0.6658370827913728,0.18738418987022248,0.1909015154061771,0.1904853064288427,0,0.6658370827913728,False,4032.0,6999,2155.0,987,2125.0,1005,2102.0,1003,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r05,A,0.7,0.65,1.8571428571428572,L2,1.0,32,5,1005,200,133.11578396674076,1842,9672,0.34857290995319357,6.27916275751351,25.93806534680069,8.111433594300905,11.918121625396862,2.067189551528846,21.442954907288094,7.434844063863749,25.437365893426527,2.4479873537872985,0.17759643916913948,0.7735334242837654,0.2295911638641609,0.6761748335590166,0.19207053190703594,0.19130269036638184,0.18685704462110334,0,0.6761748335590166,False,3105.0,7001,4090.0,1010,3953.0,1003,3896.0,978,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r06,A,0.7,0.65,1.8571428571428572,L2,1.0,32,6,1006,200,218.75827334660949,1486,9681,0.356830711608334,6.0392469736595515,35.147766330665924,7.568011419011492,21.376217867528734,2.2250624675847273,22.848951694849234,8.717814473120358,34.660814583830614,2.5596800903390613,0.20706120677181306,0.8028880866425993,0.257895477858778,0.6534236490743325,0.1629334798336949,0.1665834317755997,0.17363865779600504,0,0.6534236490743325,False,3956.0,7190,4034.0,910,3905.0,925,2143.0,967,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r07,A,0.7,0.65,1.8571428571428572,L2,1.0,32,7,1007,200,138.96813341408668,1528,9727,0.3505147291692912,6.119249293779316,33.740950254661556,7.763369118600264,18.573785698176554,2.2620435128096337,22.67502232777165,8.864864077663508,33.24904107497408,2.650801458732946,0.18797653958944283,0.7853457172342622,0.2393551469936532,0.6988250326847749,0.19653547196583515,0.18912231279204858,0.1930397959275048,0,0.6988250326847749,False,3932.0,7061,1997.0,996,3954.0,959,2091.0,977,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r08,A,0.7,0.65,1.8571428571428572,L2,1.0,32,8,1008,200,159.40788906009197,1528,9707,0.34945526029691454,6.639818146480103,45.464800177927984,8.275416930885983,32.324174431262165,2.832579289395451,25.09779271152325,12.225891335363025,44.9497991428067,2.8197295406926433,0.18910162002945508,0.768255056564964,0.24614432201067402,0.6644450007249588,0.18390133531697583,0.18525203296991677,0.1839559573909202,0,0.6644450007249588,False,3158.0,7043,3972.0,979,3929.0,987,3868.0,983,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r09,A,0.7,0.65,1.8571428571428572,L2,1.0,32,9,1009,200,163.9824454792971,1626,9713,0.35217184504063015,6.232372772339744,40.79364024331934,7.783439214902777,26.898718253979172,2.5432623952106943,23.59734879508946,9.49290813287625,40.26153727273522,2.879546071344265,0.22755191576484352,0.7746086956521739,0.29376369906777056,0.6188407806535978,0.16655122933489241,0.16719050106914168,0.17165039437210106,0,0.6188407806535978,False,3204.0,7083,3864.0,958,3998.0,963,2110.0,989,4
e2b_A_p0.7_c032_l0.65_L2_g1.0_cv4_r10,A,0.7,0.65,1.8571428571428572,L2,1.0,32,10,1010,200,178.5901131897244,1177,9692,0.35559800841030015,5.785478786293858,37.21250008120133,7.314676803239362,22.82127326677113,2.0195759885784734,19.383901065190173,4.299002267075109,36.715434546858525,2.037964588967743,0.20310459886841722,0.8417291889960701,0.2412944703873938,0.6628962721081725,0.17669599127106508,0.17476114070217544,0.16810023880819633,0,0.6628962721081725,False,3974.0,7151,1959.0,967,2105.0,959,2054.0,917,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv2_r01,A,0.7,0.8,2.285714285714286,L1,1.0,32,1,1001,200,133.98933799811545,19,9713,0.3452900110375137,2.7312382917777285,12.912137593766673,3.4762141650633502,1.9596403846418564,1.072243847048984,9.321475760995236,1.612682948147198,12.405331609939415,0.9238228114877528,0.3932567507086379,0.9933554817275747,0.39588723064648834,0.811518123785314,0.2340802472911835,0.23214146545191555,0.22398600646840783,0,0.811518123785314,False,7319.0,6986,6208.0,1018,8137.0,1005,8092.0,974,2
