p_hot,c,load,gamma,lam_sat,lam,rho_hot_frozen,rho_B_pernode,rho_hot_full,rho_cold_node,p_hot_mix_hotnode,p_hot_mix_B,ES_hotnode,ES2_hotnode,ES_B,ES2_B,W_mean_hotnode,W_mean_B,W_mean_cold,p99w_hotnode,p95w_hotnode,p99w_B,p95w_B,p99w_cold,p99w_coldmix_A,p99_ttft_hotA,p99_ttft_hotB,p99_ttft_coldA_primary,p99_ttft_coldA_mix,p99_ttft_coldB,hot_ratio_meanW,hot_ratio_p99TTFT,cold_ratio_p99TTFT_primary,cold_ratio_p99TTFT_mix,agg_mean_ttft_A_primary,agg_mean_ttft_A_mix,agg_mean_ttft_B,agg_mean_ratio_primary,agg_mean_ratio_mix,slo_flag_hotA,slo_flag_coldA_primary,slo_flag_coldA_mix,slo_crossed_primary,slo_crossed_mix,stable_frozen,stable_full
0.5,64,0.65,2.0,2.0,1.3,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,26.08463541666676,0.7943343495934959,0.48210841049382713,121.92603945732117,79.1386067867279,5.515486001968384,3.3837854862213135,4.079669713973999,85.07093787193298,123.04853945732117,6.637986001968384,6.2021697139739995,87.19343787193299,7.637986001968384,32.83835758835771,18.537029065869252,0.8120163760938602,11.415762983784257,14.783371913580293,17.98368778935191,2.294334349593496,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True
0.5,64,0.8,0.5,8.0,6.4,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,0.3,0.10032552083333332,0.375,0.15657552083333331,-1.0032552083333324,0.31315104166666674,0.16688368055555555,,,,,,,,,,,,-3.2037422037422,,,,-0.043185763888888395,-0.18945312499999936,0.6881510416666667,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.5,64,0.8,1.0,4.0,3.2,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,-2.0065104166666647,0.6263020833333335,0.3337673611111111,,,,,,,,,,,,-3.2037422037422,,,,-0.08637152777777679,-0.3789062499999987,1.3763020833333335,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.5,64,0.8,2.0,2.0,1.6,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,-4.0130208333333295,1.252604166666667,0.6675347222222222,,,,,,,,,,,,-3.2037422037422,,,,-0.17274305555555358,-0.7578124999999974,2.752604166666667,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.7,8,0.5,0.5,5.714285714285714,2.857142857142857,0.5,0.23214285714285715,0.6071428571428572,0.10714285714285716,0.903225806451613,0.7,0.27419354838709675,0.0809706821236559,0.325,0.11907552083333334,0.22819010416666669,0.05538396317829458,0.03003906250000001,1.4079511165618896,0.8755624294281006,0.6100237369537354,0.3706514835357666,0.48354268074035645,0.9582340717315674,1.6885761165618898,0.8906487369537354,1.0141676807403566,1.4888590717315675,1.1406487369537355,4.120147621651175,1.8958945839156371,0.8891148062363489,1.3052739406066212,0.4937447916666667,0.5086061197916667,0.3803839631782946,1.2980168447197058,1.3370861261921063,False,True,True,False,False,True,True
0.7,8,0.5,1.0,2.857142857142857,1.4285714285714286,0.5,0.23214285714285715,0.6071428571428572,0.10714285714285716,0.903225806451613,0.7,0.5483870967741935,0.3238827284946236,0.65,0.47630208333333335,0.45638020833333337,0.11076792635658916,0.06007812500000002,2.8158724308013916,1.7510950565338135,1.2200772762298584,0.7412731647491455,0.9671151638031006,1.916438341140747,3.377122430801392,1.7813272762298584,2.028365163803101,2.9776883411407473,2.2813272762298586,4.120147621651175,1.8958461344335333,0.8891162547949696,1.305243825454847,0.9874895833333334,1.0172122395833334,0.7607679263565892,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True
0.7,8,0.5,2.0,1.4285714285714286,0.7142857142857143,0.5,0.23214285714285715,0.6071428571428572,0.10714285714285716,0.903225806451613,0.7,1.096774193548387,1.2955309139784943,1.3,1.9052083333333334,0.9127604166666667,0.22153585271317833,0.12015625000000003,5.631774663925171,3.5022199153900146,2.440124750137329,1.4825165271759033,1.9342005252838135,3.832906484603882,6.754274663925171,3.562624750137329,4.056700525283814,5.955406484603882,4.56262475013733,4.120147621651175,1.8958703589719386,0.88911553052039,1.3052588829323803,1.9749791666666667,2.034424479166667,1.5215358527131784,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True
0.7,8,0.65,0.5,5.714285714285714,3.7142857142857144,0.65,0.3017857142857143,0.7892857142857144,0.13928571428571432,0.903225806451613,0.7,0.27419354838709675,0.0809706821236559,0.325,0.11907552083333334,0.5530709304378533,0.07918065323955671,0.04050910918049794,2.9228031635284424,1.8620193004608154,0.7462203502655029,0.44730305671691895,0.5228817462921143,2.0091235637664795,3.2034281635284425,1.026845350265503,1.0535067462921144,2.5397485637664796,1.276845350265503,6.984925077146908,3.1196792805266713,0.8250856269109267,1.9890807945052802,0.7243023840606466,0.7627445206549484,0.4041806532395567,1.7920263581526616,1.887137631505761,True,True,False,True,False,True,True
0.7,8,0.65,1.0,2.857142857142857,1.8571428571428572,0.65,0.3017857142857143,0.7892857142857144,0.13928571428571432,0.903225806451613,0.7,0.5483870967741935,0.3238827284946236,0.65,0.47630208333333335,1.1061418608757065,0.15836130647911342,0.08101821836099588,5.845576524734497,3.7240684032440186,1.4924108982086182,0.8945763111114502,1.0457932949066162,4.018276929855347,6.406826524734497,2.0536608982086184,2.1070432949066165,5.079526929855347,2.5536608982086184,6.984925077146908,3.1197100408948177,0.8251069264461456,1.9891156783653665,1.4486047681212932,1.5254890413098967,0.8083613064791134,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True
0.7,8,0.65,2.0,1.4285714285714286,0.9285714285714286,0.65,0.3017857142857143,0.7892857142857144,0.13928571428571432,0.903225806451613,0.7,1.096774193548387,1.2955309139784943,1.3,1.9052083333333334,2.212283721751413,0.31672261295822685,0.16203643672199175,11.691123247146606,7.448107004165649,2.984851598739624,1.789182424545288,2.09161639213562,8.036583662033081,12.813623247146607,4.1073515987396245,4.214116392135621,10.159083662033082,5.1073515987396245,6.984925077146908,3.1196801489014416,0.8251079469789325,1.9891099066960862,2.8972095362425865,3.0509780826197934,1.6167226129582268,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True
0.7,8,0.8,0.5,5.714285714285714,4.571428571428572,0.8,0.3714285714285715,0.9714285714285715,0.17142857142857149,0.903225806451613,0.7,0.27419354838709675,0.0809706821236559,0.325,0.11907552083333334,5.020182291666685,0.10825047348484851,0.05179148706896554,23.50965142250061,15.255123376846313,0.8988082408905029,0.5237758159637451,0.6372630596160889,16.39959216117859,23.79027642250061,1.179433240890503,1.167888059616089,16.93021716117859,1.429433240890503,46.37561509021339,20.170939395042257,0.817028753919646,11.844006895090438,3.8546650502873687,4.2272943606321975,0.4332504734848485,8.89708214115125,9.75716039414792,True,True,False,True,False,True,True
0.7,8,0.8,1.0,2.857142857142857,2.285714285714286,0.8,0.3714285714285715,0.9714285714285715,0.17142857142857149,0.903225806451613,0.7,0.5483870967741935,0.3238827284946236,0.65,0.47630208333333335,10.04036458333337,0.21650094696969702,0.10358297413793108,47.01927304267883,30.510276556015015,1.7975866794586182,1.047581434249878,1.2745559215545654,32.79915452003479,47.580523042678834,2.3588366794586184,2.3358059215545657,33.86040452003479,2.8588366794586184,46.37561509021339,20.171181607028064,0.8170476957770461,11.844119939879524,7.709330100574737,8.454588721264395,0.866500946969697,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True
0.7,8,0.8,2.0,1.4285714285714286,1.142857142857143,0.8,0.3714285714285715,0.9714285714285715,0.17142857142857149,0.903225806451613,0.7,1.096774193548387,1.2955309139784943,1.3,1.9052083333333334,20.08072916666674,0.43300189393939403,0.20716594827586216,94.03857588768005,61.02052330970764,3.5951435565948486,2.0951926708221436,2.5491416454315186,65.59833884239197,95.16107588768006,4.717643556594849,4.671641645431519,67.72083884239197,5.717643556594849,46.37561509021339,20.171315349726513,0.8170571668538432,11.844186887844966,15.418660201149475,16.90917744252879,1.733001893939394,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True
