p_hot,c,load,gamma,rho_hot_frozen,rho_hot_full,rho_B_pernode,hot_ratio_meanW,hot_ratio_p99TTFT,cold_ratio_p99TTFT_primary,cold_ratio_p99TTFT_mix,agg_mean_ratio_primary,agg_mean_ratio_mix,slo_flag_hotA,slo_flag_coldA_primary,slo_flag_coldA_mix,slo_crossed_primary,slo_crossed_mix,stable_frozen,stable_full,G_pp_L1,G_pp_L2
0.7,64,0.5,1.0,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958461344335333,0.8891162547949696,1.305243825454847,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True,0.0,0.0
0.7,64,0.5,2.0,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958703589719386,0.88911553052039,1.3052588829323803,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True,0.0,0.0
0.7,64,0.65,0.5,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1196792805266713,0.8250856269109267,1.9890807945052802,1.7920263581526616,1.887137631505761,True,True,False,True,False,True,True,0.0,0.0
0.7,64,0.65,1.0,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1197100408948177,0.8251069264461456,1.9891156783653665,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True,0.0,0.0
0.7,64,0.65,2.0,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1196801489014416,0.8251079469789325,1.9891099066960862,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True,0.0,0.0
0.7,64,0.8,0.5,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.170939395042257,0.817028753919646,11.844006895090438,8.89708214115125,9.75716039414792,True,True,False,True,False,True,True,0.0,0.0
0.7,64,0.8,1.0,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.171181607028064,0.8170476957770461,11.844119939879524,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True,0.0,0.0
0.7,64,0.8,2.0,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.171315349726513,0.8170571668538432,11.844186887844966,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True,0.0,0.0
0.8,8,0.5,0.5,0.5,0.5625,0.1875,4.64828033744322,1.8556348049104436,0.9462011419660696,1.2849822371341817,1.3196832768812832,1.3437057196527091,False,True,True,False,False,True,True,0.0,0.0
0.8,8,0.5,1.0,0.5,0.5625,0.1875,4.64828033744322,1.855618279023779,0.9461727520876534,1.284948905344113,1.3196832768812832,1.3437057196527091,True,True,False,True,False,True,True,0.0,0.0
